;"Category =COUNTIF(G:G;""Male"")";;Survived;Pclass;Age;Sex;PassengerId
;Male;;0;3;22;male;1
;Female;;1;1;38;female;2
;Female;;1;3;26;female;3
;Female;;1;1;35;female;4
;Male;;0;3;35;male;5
;Child;;0;3;;male;6
;Male;;0;1;54;male;7
;Child;;0;3;2;male;8
;Female;;1;3;27;female;9
;Child;;1;2;14;female;10
;Child;;1;3;4;female;11
;Female;;1;1;58;female;12
;Male;;0;3;20;male;13
;Male;;0;3;39;male;14
;Child;;0;3;14;female;15
;Female;;1;2;55;female;16
;Child;;0;3;2;male;17
;Child;;1;2;;male;18
;Female;;0;3;31;female;19
;Child;;1;3;;female;20
;Male;;0;2;35;male;21
;Male;;1;2;34;male;22
;Child;;1;3;15;female;23
;Male;;1;1;28;male;24
;Child;;0;3;8;female;25
;Female;;1;3;38;female;26
;Child;;0;3;;male;27
;Male;;0;1;19;male;28
;Child;;1;3;;female;29
;Child;;0;3;;male;30
;Male;;0;1;40;male;31
;Child;;1;1;;female;32
;Child;;1;3;;female;33
;Male;;0;2;66;male;34
;Male;;0;1;28;male;35
;Male;;0;1;42;male;36
;Child;;1;3;;male;37
;Male;;0;3;21;male;38
;Female;;0;3;18;female;39
;Child;;1;3;14;female;40
;Female;;0;3;40;female;41
;Female;;0;2;27;female;42
;Child;;0;3;;male;43
;Child;;1;2;3;female;44
;Female;;1;3;19;female;45
;Child;;0;3;;male;46
;Child;;0;3;;male;47
;Child;;1;3;;female;48
;Child;;0;3;;male;49
;Female;;0;3;18;female;50
;Child;;0;3;7;male;51
;Male;;0;3;21;male;52
;Female;;1;1;49;female;53
;Female;;1;2;29;female;54
;Male;;0;1;65;male;55
;Child;;1;1;;male;56
;Female;;1;2;21;female;57
;Male;;0;3;28.5;male;58
;Child;;1;2;5;female;59
;Child;;0;3;11;male;60
;Male;;0;3;22;male;61
;Female;;1;1;38;female;62
;Male;;0;1;45;male;63
;Child;;0;3;4;male;64
;Child;;0;1;;male;65
;Child;;1;3;;male;66
;Female;;1;2;29;female;67
;Male;;0;3;19;male;68
;Child;;1;3;17;female;69
